x(m)  Ex_total(V/m)  Ey_total(V/m)  Ex_dipole(V/m)  Ey_dipole(V/m)  Ex_quadrupole(V/m)  Ey_quadrupole(V/m)  Ex_sextupole(V/m)  Ey_sextupole(V/m)  Ex_octupole(V/m)  Ey_octupole(V/m)
1.000000000000000021e-03 7.074554608799999977e-01 -1.447452536700000055e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 1.580039637440512342e+04 -8.143744201180228602e-12 -7.845897473141671937e-14 -5.703246318077927413e+01 6.016452609934325402e+00 -1.151105370610464989e-14
2.000000000000000042e-03 1.211487272829999906e+00 -1.447454982469999930e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 3.160079274881024685e+04 -7.516506475819589607e-12 -1.871983913767953781e-13 -2.281298527231170965e+02 4.813162087947460321e+01 -5.201080436411552935e-14
3.000000000000000062e-03 1.880989955170000005e+00 -1.447458428069999907e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 4.740118912321537209e+04 -6.889268750458948998e-12 -3.262182499361359385e-13 -5.132921686270135524e+02 1.624442204682267743e+02 -1.304491362835780456e-13
4.000000000000000083e-03 2.845227203819999939e+00 -1.447463524930000072e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 6.320158549762049370e+04 -6.262031025098308388e-12 -4.955185504094385139e-13 -9.125194108924683860e+02 3.850529670357968257e+02 -2.557759337740375556e-13
5.000000000000000104e-03 3.356366159619999845e+00 -1.447469706699999981e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 7.900198187202561530e+04 -5.634793299737668586e-12 -6.950992927967029530e-13 -1.425811579519481938e+03 7.520565762417908218e+02 -4.369410811450396178e-13
6.000000000000000125e-03 3.852908208680000168e+00 -1.447476861740000080e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 9.480237824643074418e+04 -5.007555574377028784e-12 -9.249604770979291549e-13 -2.053168674508054210e+03 1.299553763745814194e+03 -6.828944627061294125e-13
7.000000000000000146e-03 4.756961135730000123e+00 -1.447484473909999942e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 1.106027746208358585e+05 -4.380317849016388174e-12 -1.185102103313117523e-12 -2.794590695858184972e+03 2.063643245207473683e+03 -1.002585962766852347e-12
8.000000000000000167e-03 5.890563099419999560e+00 -1.447493271130000008e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 1.264031709952409874e+05 -3.753080123655748372e-12 -1.475524171442267856e-12 -3.650077643569873544e+03 3.080423736286374606e+03 -1.404965465636754131e-12
8.999999999999999320e-03 6.154511082560000013e+00 -1.447501995309999911e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 1.422035673696461017e+05 -3.125842398295108570e-12 -1.796226681485379750e-12 -4.619629517643121289e+03 4.385993952642122167e+03 -1.898982855625379567e-12
1.000000000000000021e-02 7.313312177700000305e+00 -1.447510839320000028e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 1.580039637440512306e+05 -2.498604672934467961e-12 -2.147209633442454013e-12 -5.703246318077927754e+03 6.016452609934326574e+03 -2.493588017042275475e-12
1.099999999999999936e-02 8.146493671509999146e+00 -1.447519026929999935e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 1.738043601184563595e+05 -1.871366947573828966e-12 -2.528473027313489836e-12 -6.900928044874292027e+03 8.007898423822585755e+03 -3.197730834196984637e-12
1.200000000000000025e-02 9.112427873879999751e+00 -1.447525590199999977e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 1.896047564928614884e+05 -1.244129222213188357e-12 -2.940016863098488229e-12 -8.212674698032216838e+03 1.039643010996651356e+04 -4.020361191399054682e-12
1.299999999999999940e-02 9.971274810769999775e+00 -1.447530475240000058e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 2.054051528672665881e+05 -6.168914968525477469e-13 -3.381841140797447982e-12 -9.638486277551697640e+03 1.321814638402571109e+04 -4.970428972958030008e-12
