y(m)  Ex_total(V/m)  Ey_total(V/m)  Ex_dipole(V/m)  Ey_dipole(V/m)  Ex_quadrupole(V/m)  Ey_quadrupole(V/m)  Ex_sextupole(V/m)  Ey_sextupole(V/m)  Ex_octupole(V/m)  Ey_octupole(V/m)
3.200000000000000067e-02 -6.203594787399999869e-16 -1.446486757650000043e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 2.007160721154048336e-11 -5.056126839809639496e+05 1.550358625994850974e-11 5.840124229711797670e+04 4.887830150919727452e-11 1.971471191223279748e+05
3.300000000000000155e-02 2.513918873349999834e-15 -1.446464102059999947e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 2.069884493690112397e-11 -5.214130803553690785e+05 1.648770062215227491e-11 6.210835240386864461e+04 5.360533207202217942e-11 2.162132574432098772e+05
3.400000000000000244e-02 0.000000000000000000e+00 -1.446442110730000073e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 2.132608266226176458e-11 -5.372134767297742656e+05 1.750209542626999820e-11 6.592952743698084669e+04 5.862770881706207771e-11 2.364706533808587701e+05
3.500000000000000333e-02 6.950511299339999694e-16 -1.446420597770000109e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 2.195332038762240519e-11 -5.530138731041793944e+05 1.854677067230168608e-11 6.986476739645462658e+04 6.395438162862651621e-11 2.579554056509342627e+05
3.599999999999999728e-02 6.950511299339999694e-16 -1.446409718580000103e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 2.258055811298304256e-11 -5.688142694785844069e+05 1.962172636024732886e-11 7.391407228228994063e+04 6.959430039102500297e-11 2.807036129690958187e+05
3.699999999999999817e-02 6.950511299339999694e-16 -1.446398839380000019e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 2.320779583834368317e-11 -5.846146658529895358e+05 2.072696249010693946e-11 7.807744209448681795e+04 7.555641498856717528e-11 3.047513740510033094e+05
3.799999999999999906e-02 0.000000000000000000e+00 -1.446397068949999986e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 2.383503356370432378e-11 -6.004150622273946647e+05 2.186247906188051465e-11 8.235487683304527309e+04 8.184967530556252827e-11 3.301347876123163151e+05
3.899999999999999994e-02 2.158304229450000097e-02 2.705298460920000161e-02 -7.460698725481051952e-14 -7.717425032035298645e+05 2.446227128906496439e-11 -6.162154586017997935e+05 2.302827607556805119e-11 8.674637649796527694e+04 8.848303122632058290e-11 3.568899523686942412e+05
4.000000000000000083e-02 1.142154239440000031e-02 4.457475180179999719e-02 -7.460698725481051952e-14 -7.717425032035298645e+05 2.508950901442560500e-11 -6.320158549762049224e+05 2.422435353116954587e-11 9.125194108924684406e+04 9.546543263515093770e-11 3.850529670357969007e+05
4.100000000000000172e-02 1.260042494350000018e-03 6.209651899440000317e-02 -7.460698725481051952e-14 -7.717425032035298645e+05 2.571674673978624561e-11 -6.478162513506100513e+05 2.545071142868500837e-11 9.587157060688997444e+04 1.028058294163631007e-10 4.146599303292836994e+05
4.200000000000000261e-02 0.000000000000000000e+00 5.451451084419999676e-02 -7.460698725481051952e-14 -7.717425032035298645e+05 2.634398446514688622e-11 -6.636166477250151802e+05 2.670734976811442576e-11 1.006052650508946535e+05 1.105131714542666058e-10 4.457469409648143919e+05
4.299999999999999656e-02 0.000000000000000000e+00 4.337894710669999709e-02 -7.460698725481051952e-14 -7.717425032035298645e+05 2.697122219050752037e-11 -6.794170440994201927e+05 2.799426854945780128e-11 1.054530244212608668e+05 1.185964086331709870e-10 4.783500976580482675e+05
4.399999999999999745e-02 2.555348558829999877e-05 3.082565718389999876e-02 -7.460698725481051952e-14 -7.717425032035298645e+05 2.759845991586816098e-11 -6.952174404738254379e+05 2.931146777271514462e-11 1.104148487179886724e+05 1.270644908373858685e-10 5.125054991246454883e+05
4.499999999999999833e-02 1.015945481789999990e-04 1.547127933540000042e-02 -7.460698725481051952e-14 -7.717425032035298645e+05 2.822569764122880159e-11 -7.110178368482305668e+05 3.065894743788645579e-11 1.154907379410780268e+05 1.359263679512207325e-10 5.482492440802652854e+05
4.599999999999999922e-02 1.776356107690000078e-04 1.169014868139999977e-04 -7.460698725481051952e-14 -7.717425032035298645e+05 2.885293536658944220e-11 -7.268182332226356957e+05 3.203670754497172508e-11 1.206806920905289444e+05 1.451909898589851519e-10 5.856174312405674718e+05
4.700000000000000011e-02 1.502798097369999880e-04 -3.087596913919999839e-02 -7.460698725481051952e-14 -7.717425032035298645e+05 2.948017309195008281e-11 -7.426186295970408246e+05 3.344474809397095249e-11 1.259847111663414253e+05 1.548673064449886732e-10 6.246461593212113949e+05
4.800000000000000100e-02 9.644140951570000361e-05 -6.587426044869999775e-02 -7.460698725481051952e-14 -7.717425032035298645e+05 3.010741081731072342e-11 -7.584190259714459535e+05 3.488306908488414450e-11 1.314027951685154694e+05 1.649642675935407918e-10 6.653715270378568675e+05
4.900000000000000189e-02 4.260300929400000279e-05 -1.008725517580000008e-01 -7.460698725481051952e-14 -7.717425032035298645e+05 3.073464854267136403e-11 -7.742194223458510824e+05 3.635167051771130756e-11 1.369349440970510768e+05 1.754908231889511578e-10 7.078296331061635865e+05
5.000000000000000278e-02 0.000000000000000000e+00 -1.458317495710000078e-01 -7.460698725481051952e-14 -7.717425032035298645e+05 3.136188626803200464e-11 -7.900198187202562112e+05 3.785055239245242229e-11 1.425811579519482329e+05 1.864559231155291887e-10 7.520565762417907827e+05
